Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,          0,     0.00,          0,     0.00, 2.54211E-013,  -153.43,          0,     0.00, 2.54211E-013,  -153.43,          0,     0.00,          0,     0.00, 2.54211E-013,    26.57,          0,     0.00, 2.54211E-013,    26.57
Vsource.7_3_UTILITY 1,    4.82672,   -31.76,    4.82682,  -151.77,    4.82661,    88.23,          0,     0.00, 7.33913E-005,   -57.44,    4.82672,   148.24,    4.82682,    28.23,    4.82661,   -91.77,          0,     0.00, 7.33913E-005,   122.56
Line.8_3_OVERHEAD LINE 1, 2.42178E-005,    37.70, 2.791E-005,   -84.38, 2.60069E-005,   144.62,          0,     0.00, 2.20441E-006,    71.67, 0.000873122,    94.99, 0.00102586,   -24.02, 0.000981872,  -156.45,          0,     0.00, 7.14448E-005,   123.06
Line.9_2_CABLE 1,    4.82672,   148.24,    4.82682,    28.23,    4.82661,   -91.77,          0,     0.00, 7.33913E-005,   122.56,    4.82645,   -31.76,    4.82655,  -151.76,    4.82634,    88.24,          0,     0.00, 7.33913E-005,   -57.44
Line.10_1_DIRECT CON,    4.90893,   -31.65,    4.90893,  -151.65,    4.90893,    88.35,          0,     0.00, 1.24732E-006,     5.56,    4.90893,   148.35,    4.90893,    28.35,    4.90893,   -91.65,          0,     0.00, 1.24644E-006,  -174.42
Transformer.11_0_TRANSFORMER 2,  0.0834545,   -25.70,  0.0834545,  -145.70,  0.0834545,    94.30, 2.11942E-008,  -168.46, 5.08423E-013,   153.43,   0.959708,   154.30,   0.959708,    34.30,   0.959708,   -85.70, 2.43742E-007,    11.54,          0,     0.00
Transformer.12_0_TRANSFORMER 1, 2.42179E-005,  -142.30, 2.791E-005,    95.62, 2.60068E-005,   -35.38, 2.20441E-006,    71.67, 9.37486E-013,  -165.96, 2.19147E-005,    28.97, 2.57031E-005,   -92.02, 2.45673E-005,   135.68, 2.20441E-006,  -108.33, 1.4559E-012,  -128.66
Generator.9_1_SYNC GEN 1,    4.90893,   148.35,    4.90893,    28.35,    4.90893,   -91.65, 1.2468E-006,     5.60,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.10_0_LOAD 1,   0.959708,   -25.70,   0.959707,  -145.70,   0.959708,    94.30, 2.43754E-007,  -168.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
