Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 13.8, 1,    7967.43,    0.0,         1, 2,    7967.43, -120.0,         1, 3,    7967.43,  120.0,         1
"9_1_SYNC GEN 1", 13.8, 1,    7988.64,    0.1,    1.0027, 2,    7988.64, -119.9,    1.0027, 3,    7988.64,  120.1,    1.0027
"10_0_LOAD 1", 1.2, 1,    694.656,    0.1,    1.0026, 2,    694.656, -119.9,    1.0026, 3,    694.656,  120.1,    1.0026
"7_3_UTILITY 1", 13.8, 1,    7987.59,    0.1,    1.0025, 2,    7987.59, -119.9,    1.0025, 3,    7987.59,  120.1,    1.0025
"8_3_UTILITY 2", 13.8, 1,    7988.63,    0.1,    1.0027, 2,    7988.63, -119.9,    1.0027, 3,    7988.63,  120.1,    1.0027
"11_2_BUS 1", 13.8, 1,    7988.63,    0.1,    1.0027, 2,    7988.63, -119.9,    1.0027, 3,    7988.63,  120.1,    1.0027
